stockid,fao_area
RSHRMPMEDGSA9-11,37
SAILEATL,27;34;47
SAILWATL,21;31;41
SARDINWA,34
SARDMEDGSA1,37
SARDMEDGSA16,37
SARDMEDGSA17,37
SARDMEDGSA17-18,37
SARDMEDGSA20,37
SARDMEDGSA22,37
SARDMEDGSA6,37
SARDMEDGSA7,37
SARDMEDGSA9,37
SARDPVIIIc-IXa,27
SARDVII,27
SARDVIIIabd,27
SARDVII-VIIIabd,27
SARDWAZAB,34
SARDWAZC,34
SBREAMCH,87
SBT,48;58;88
SDOGBLKGSA29,37
SDRAYVI-VII,27
SEELNSSA1,27
SEELNSSA2,27
SEELNSSA3,27
SEELNSSA4,27
SEELNSSA5,27
SEELNSSA6,27
SEELNSSA7,27
SEELVIa,27
SERAYVIIde,27
SERAYVIIf-g,27
SFMAKONWPAC,61
SGRAYVI-VII,27
SHSPPNEATL,27
SKJCIO,51;57
SKJCWPAC,61;67;71;77;81
SKJEATL,27;34;47
SKJEPAC,67;77;81;87
SKJWATL,21;31;41
SMSHRMPMEDGSA10,37
SMSHRMPMEDGSA17,37
SMSHRMPMEDGSA17-18,37
SMSHRMPMEDGSA9,37
SMULLMEDGSA15-16,37
SMULLMEDGSA5,37
SMULLMEDGSA9,37
SOLECS,27
SOLEIIIa-2224,27
SOLEIS,27
SOLENS,27
SOLEVIIbc,27
SOLEVIId,27
SOLEVIIe,27
SOLEVIIh-k,27
SOLEVIIIab,27
SOLEVIIIc-IXa,27
SOLEWASG1,34
SOLEWASG3,34;47
SOLMEDGSA17,37
SOLMEDGSA7,37
SPRAT22-32,27
SPRATIIIa,27
SPRATNS,27
SPRATVIIde,27
SPRATVI-VIIabcfghijk,27
SPRAYIIIa-IV-VIId,27
SPRAYIXa,27
SPRAYVIIaefgh,27
SPRAYVIII,27
SPRAYVI-VIIbj,27
SPRBLKGSA29,37
SPSHRIMPWA,34
SPURDNEATL,27
STMARLINIO,51;57
STMARLINNEPAC,77;87
STMARLINSWPO,71;81
STRAYII-IIIa-IV,27
STRMULLIIIa-IV-VIId,27
STRMULLVI-VIIabcefghijk-VIII-IXa,27
STROUT22-32,27
SWORDEPAC,67;77;81;87
SWORDIO,51;57
SWORDMED,37
SWORDNATL,21;27;31;34
SWORDSATL,34;41;47
TBSKAIIIa-IV-VIId,27
TBSKAIXa,27
TBSKAMEDGSA29,37
TBSKAVI,27
TBSKAVIIafg,27
TBSKAVIIe,27
TBSKAVIII,27
THREADWASG1,34
THREADWASG2,34
THREADWASG3,34;47
TPSHARNEATL,27
TSKA3LNOPs,21
TUR2232,27
TURBLKGSA29,37
TURIIIa,27
TURIV,27
URAYVIIde,27
URAYVIIIab,27
WANGLGSA1-7,37
WANGLVIIIc-IXa,27
WANGLVII-VIIIabd,27
WHAKE3NOPs,21
WHAKE3Ps,21
WHITIIIa,27
WHITMEDGSA29,37
WHITNS-VIId,27
WHITVIa,27
WHITVIb,27
WHITVIIa,27
WHITVIIek,27
WHITVIII-IXa,27
WITFLOUNIIIa-IV-VIId,27
WMARLINATL,21;27;31;34;41;47
YELL3LNO,21
YFINATL,21;27;31;34;41;47
YFINCWPAC,61;67;71;77;81
YFINEIO,51;57
YFINEPAC,67;77;81;87
ALBANPAC,61;67;71;77
BLSHARNPAC,61;67;71;77
BMARLINPAC,61;67;71;77;81;87
PACBTUNA,61;67;71;77;81;87
STMARLINWCNPAC,61;71;67;77
SWORDNPAC,61;67;71;77
AUSSALMONNZ,81
BKCDLFENI,81
BLACKOREOPR,81
BLACKOREOWECR,81
BNSNZ,81
DOYSFS,81
GEMFISHNZ,81
GSTRGZRSTA7,81
HOKIENZ,81
HOKIWNZ,81
NZLINGLIN3-4,81
NZLINGLIN5-6,81
NZLINGLIN6b,81
NZLINGLIN72,81
NZLINGLIN7WC,81
NZSNAPNZ1BOP-HAGU,81
NZSNAPNZ1ENLD,81
NZSNAPNZ7,81
NZSNAPNZ8,81
OROUGHYCR,81
OROUGHYESCR,81
OROUGHYNWCR,81
OROUGHYNZ7A,81
OROUGHYNZMEC,81
PAUANPAU5A,81
PAUAPAU5B,81
PAUAPAU5D,81
PAUAPAU7,81
PAUASPAU5A,81
RROCKLOBSTERCRA1,81
RROCKLOBSTERCRA2,81
RROCKLOBSTERCRA3,81
RROCKLOBSTERCRA4,81
RROCKLOBSTERCRA5,81
RROCKLOBSTERCRA7,81
RROCKLOBSTERCRA8,81
SBWHITACIR,81
SCMPBP,81
SCMPMB,81
SCMPWHB,81
SMOOTHOREOBP,81
SMOOTHOREOCR,81
SMOOTHOREOEPR,81
SMOOTHOREOSLD,81
SMOOTHOREOWECR,81
SOUTHHAKECR,81
SOUTHHAKESA,81
